0,3,1.8333
0.05,2.9939,1.8324
0.1,2.9863,1.8315
0.15,2.9788,1.8308
0.2,2.9713,1.8303
0.25,2.9638,1.8298
0.3,2.9563,1.8294
0.35,2.9489,1.829
0.4,2.9414,1.8287
0.45,2.934,1.8284
0.5,2.9265,1.8281
0.55,2.9191,1.8279
0.6,2.9117,1.8277
0.65,2.9043,1.8276
0.7,2.897,1.8275
0.75,2.8896,1.8275
0.8,2.8823,1.8275
0.85,2.8749,1.8276
0.9,2.8676,1.8277
0.95,2.8603,1.8278
1,2.8531,1.828
1.05,2.8458,1.8283
1.1,2.8386,1.8286
1.15,2.8314,1.829
1.2,2.8242,1.8294
1.25,2.817,1.8299
1.3,2.8099,1.8304
1.35,2.8028,1.831
1.4,2.7957,1.8316
1.45,2.7887,1.8323
1.5,2.7817,1.8331
1.55,2.7747,1.8339
1.6,2.7678,1.8348
1.65,2.7609,1.8358
1.7,2.754,1.8368
1.75,2.7472,1.8379
1.8,2.7404,1.8391
1.85,2.7337,1.8404
1.9,2.7271,1.8417
1.95,2.7204,1.8431
2,2.7139,1.8446
2.05,2.7074,1.8461
2.1,2.701,1.8478
2.15,2.6946,1.8495
2.2,2.6884,1.8513
2.25,2.6822,1.8532
2.3,2.6761,1.8552
2.35,2.6701,1.8573
2.4,2.6642,1.8594
2.45,2.6584,1.8617
2.5,2.6527,1.864
2.55,2.6472,1.8665
2.6,2.6418,1.869
2.65,2.6365,1.8716
2.7,2.6314,1.8744
2.75,2.6265,1.8772
2.8,2.6217,1.8801
2.85,2.6172,1.8831
2.9,2.6132,1.8866
2.95,2.6097,1.8908
3,2.6068,1.8957
3.05,2.6045,1.9012
3.1,2.6028,1.9074
3.15,2.6016,1.9142
3.2,2.601,1.9216
3.25,2.6009,1.9296
3.3,2.6014,1.9382
3.35,2.6024,1.9473
3.4,2.6039,1.9569
3.45,2.6059,1.967
3.5,2.6085,1.9777
3.55,2.6116,1.9887
3.6,2.6152,2.0003
3.65,2.6193,2.0122
3.7,2.624,2.0246
3.75,2.6292,2.0374
3.8,2.6349,2.0505
3.85,2.6411,2.0639
3.9,2.6479,2.0777
3.95,2.6551,2.0918
4,2.663,2.1059
4.05,2.6713,2.1201
4.1,2.6802,2.1343
4.15,2.6895,2.1486
4.2,2.6993,2.1629
4.25,2.7096,2.1772
4.3,2.7202,2.1916
4.35,2.7312,2.2061
4.4,2.7427,2.2205
4.45,2.7544,2.235
4.5,2.7666,2.2496
4.55,2.779,2.2641
4.6,2.7918,2.2787
4.65,2.8048,2.2934
4.7,2.8181,2.308
4.75,2.8318,2.3227
4.8,2.8456,2.3374
4.85,2.8597,2.3521
4.9,2.874,2.3669
4.95,2.8886,2.3816
5,2.9034,2.3964
5.05,2.9183,2.4112
5.1,2.9335,2.4261
5.15,2.9488,2.4409
5.2,2.9643,2.4558
5.25,2.98,2.4706
5.3,2.9958,2.4855
5.35,3.0118,2.5004
5.4,3.0279,2.5154
5.45,3.0442,2.5303
5.5,3.0606,2.5452
5.55,3.0771,2.5602
5.6,3.0937,2.5751
5.65,3.1105,2.5901
5.7,3.1273,2.6051
5.75,3.1443,2.6201
5.8,3.1613,2.6351
5.85,3.1785,2.6501
5.9,3.1957,2.6651
5.95,3.213,2.6801
6,3.2304,2.6952
6.05,3.2479,2.7102
6.1,3.2654,2.7253
6.15,3.283,2.7403
6.2,3.3007,2.7554
6.25,3.3184,2.7704
6.3,3.3362,2.7855
6.35,3.3542,2.8006
6.4,3.3725,2.8156
6.45,3.3913,2.8306
6.5,3.4107,2.8453
6.55,3.4305,2.8599
6.6,3.451,2.8743
6.65,3.4717,2.8882
6.7,3.4927,2.9018
6.75,3.514,2.9149
6.8,3.5355,2.9276
6.85,3.5572,2.9399
6.9,3.5792,2.9517
6.95,3.6014,2.9632
7,3.6238,2.9743
7.05,3.6464,2.9849
7.1,3.6692,2.9952
7.15,3.6921,3.0052
7.2,3.7151,3.0147
7.25,3.7384,3.024
7.3,3.7617,3.0328
7.35,3.7852,3.0414
7.4,3.8087,3.0496
7.45,3.8324,3.0576
7.5,3.8562,3.0652
7.55,3.8801,3.0726
7.6,3.904,3.0797
7.65,3.928,3.0866
7.7,3.9521,3.0932
7.75,3.9762,3.0997
7.8,4.0004,3.106
7.85,4.0246,3.1121
7.9,4.0489,3.1181
7.95,4.0731,3.1239
8,4.0974,3.1297
8.05,4.1218,3.1353
8.1,4.1461,3.141
8.15,4.1704,3.1466
8.2,4.1948,3.1521
8.25,4.2191,3.1578
8.3,4.2435,3.1634
8.35,4.2678,3.1691
8.4,4.2921,3.175
8.45,4.3163,3.1809
8.5,4.3406,3.187
8.55,4.3648,3.1932
8.6,4.3889,3.1997
8.65,4.413,3.2063
8.7,4.437,3.2132
8.75,4.461,3.2204
8.8,4.4848,3.2278
8.85,4.5086,3.2355
8.9,4.5323,3.2436
8.95,4.5558,3.2519
9,4.5792,3.2607
9.05,4.6025,3.2698
9.1,4.6257,3.2793
9.15,4.6486,3.2892
9.2,4.6714,3.2994
9.25,4.694,3.3101
9.3,4.7164,3.3212
9.35,4.7386,3.3327
9.4,4.7606,3.3446
9.45,4.7823,3.357
9.5,4.8036,3.3696
9.55,4.8245,3.3825
9.6,4.8449,3.3957
9.65,4.8649,3.4092
9.7,4.8845,3.4229
9.75,4.9037,3.4369
9.8,4.9226,3.4512
9.85,4.9411,3.4658
9.9,4.9592,3.4806
9.95,4.9771,3.4957
10,4.9946,3.511
10.05,5.0118,3.5266
10.1,5.0288,3.5425
10.15,5.0454,3.5586
10.2,5.0618,3.575
10.25,5.0779,3.5916
10.3,5.094,3.6084
10.35,5.11,3.6253
10.4,5.126,3.6422
10.45,5.1422,3.6592
10.5,5.1583,3.6761
10.55,5.1746,3.693
10.6,5.1909,3.7099
10.65,5.2073,3.7268
10.7,5.2238,3.7437
10.75,5.2404,3.7605
10.8,5.257,3.7773
10.85,5.2737,3.7941
10.9,5.2905,3.8108
10.95,5.3073,3.8276
11,5.3242,3.8443
11.05,5.3411,3.861
11.1,5.3581,3.8776
11.15,5.3752,3.8943
11.2,5.3923,3.9109
11.25,5.4095,3.9275
11.3,5.4267,3.9441
11.35,5.4439,3.9606
11.4,5.4612,3.9772
11.45,5.4785,3.9937
11.5,5.4959,4.0103
11.55,5.5132,4.0268
11.6,5.5307,4.0433
11.65,5.5481,4.0598
11.7,5.5656,4.0762
11.75,5.5831,4.0927
11.8,5.6007,4.1091
11.85,5.6183,4.1256
11.9,5.6359,4.142
11.95,5.6535,4.1584
12,5.6711,4.1749
12.05,5.6888,4.1913
12.1,5.7065,4.2077
12.15,5.7242,4.2241
12.2,5.7419,4.2404
12.25,5.7597,4.2568
12.3,5.7774,4.2732
12.35,5.7952,4.2895
12.4,5.813,4.3059
12.45,5.8308,4.3223
12.5,5.8486,4.3386
12.55,5.8665,4.3549
12.6,5.8843,4.3713
12.65,5.9022,4.3876
12.7,5.92,4.4039
12.75,5.9379,4.4203
12.8,5.9558,4.4366
12.85,5.9737,4.4529
12.9,5.9916,4.4692
12.95,6.0096,4.4855
13,6.0275,4.5018
13.05,6.0454,4.5181
13.1,6.0634,4.5344
13.15,6.0813,4.5507
13.2,6.0993,4.567
13.25,6.1173,4.5833
13.3,6.1352,4.5996
13.35,6.1532,4.6159
13.4,6.1712,4.6321
13.45,6.1892,4.6484
13.5,6.2072,4.6647
13.55,6.2252,4.681
13.6,6.2432,4.6972
13.65,6.2612,4.7135
13.7,6.2792,4.7298
13.75,6.2973,4.7461
13.8,6.3153,4.7623
13.85,6.3333,4.7786
13.9,6.3513,4.7949
13.95,6.3694,4.8111
14,6.3874,4.8274
14.05,6.4055,4.8436
14.1,6.4235,4.8599
14.15,6.4416,4.8762
14.2,6.4596,4.8924
14.25,6.4777,4.9087
14.3,6.4957,4.9249
14.35,6.5138,4.9412
14.4,6.5318,4.9574
14.45,6.5499,4.9737
14.5,6.568,4.9899
14.55,6.586,5.0062
14.6,6.6041,5.0225
14.65,6.6222,5.0387
14.7,6.6402,5.055
14.75,6.6583,5.0712
14.8,6.6764,5.0874
14.85,6.6945,5.1037
14.9,6.7125,5.1199
14.95,6.7306,5.1362
15,6.7487,5.1524
15.05,6.7668,5.1687
15.1,6.7849,5.1849
15.15,6.803,5.2012
15.2,6.821,5.2174
15.25,6.8391,5.2337
15.3,6.8572,5.2499
15.35,6.8753,5.2662
15.4,6.8934,5.2824
15.45,6.9115,5.2986
15.5,6.9296,5.3149
15.55,6.9477,5.3311
15.6,6.9657,5.3474
15.65,6.9838,5.3636
15.7,7.0019,5.3798
15.75,7.02,5.3961
15.8,7.0381,5.4123
15.85,7.0562,5.4286
15.9,7.0743,5.4448
15.95,7.0924,5.4611
16,7.1105,5.4773
16.05,7.1286,5.4935
16.1,7.1467,5.5098
16.15,7.1648,5.526
16.2,7.1829,5.5423
16.25,7.201,5.5585
16.3,7.2191,5.5747
16.35,7.2372,5.591
16.4,7.2553,5.6072
16.45,7.2734,5.6235
16.5,7.2915,5.6397
16.55,7.3096,5.6559
16.6,7.3277,5.6722
16.65,7.3458,5.6884
16.7,7.3639,5.7046
16.75,7.382,5.7209
16.8,7.4001,5.7371
16.85,7.4182,5.7534
16.9,7.4363,5.7696
16.95,7.4544,5.7858
17,7.4725,5.8021
17.05,7.4906,5.8183
17.1,7.5087,5.8346
17.15,7.5268,5.8508
17.2,7.5449,5.867
17.25,7.563,5.8833
17.3,7.5811,5.8995
17.35,7.5992,5.9157
17.4,7.6173,5.932
17.45,7.6354,5.9482
17.5,7.6535,5.9645
17.55,7.6716,5.9807
17.6,7.6897,5.9969
17.65,7.7078,6.0132
17.7,7.7259,6.0294
17.75,7.744,6.0456
17.8,7.7621,6.0619
17.85,7.7802,6.0781
17.9,7.7983,6.0945
17.95,7.8164,6.111
18,7.8343,6.1278
18.05,7.852,6.1448
18.1,7.8696,6.1622
18.15,7.887,6.1798
18.2,7.9042,6.1979
18.25,7.9211,6.2162
18.3,7.9377,6.2349
18.35,7.9539,6.2539
18.4,7.9698,6.2732
18.45,7.9853,6.2928
18.5,8.0004,6.3127
18.55,8.0151,6.333
18.6,8.0294,6.3535
18.65,8.0432,6.3743
18.7,8.0566,6.3954
18.75,8.0695,6.4168
18.8,8.0819,6.4385
18.85,8.0938,6.4605
18.9,8.1052,6.4827
18.95,8.1161,6.5052
19,8.1265,6.528
19.05,8.1364,6.5509
19.1,8.1457,6.5741
19.15,8.1545,6.5975
19.2,8.1629,6.621
19.25,8.1707,6.6448
19.3,8.1781,6.6686
19.35,8.1851,6.6927
19.4,8.1916,6.7168
19.45,8.1978,6.741
19.5,8.2036,6.7653
19.55,8.2092,6.7897
19.6,8.2145,6.8141
19.65,8.2196,6.8385
19.7,8.2246,6.863
19.75,8.2295,6.8875
19.8,8.2343,6.9121
19.85,8.2392,6.9366
19.9,8.244,6.9611
19.95,8.249,6.9856
20,8.254,7.0101
20.05,8.2593,7.0345
20.1,8.2647,7.0589
20.15,8.2704,7.0833
20.2,8.2763,7.1075
20.25,8.2825,7.1318
20.3,8.2891,7.1559
20.35,8.296,7.1799
20.4,8.3033,7.2038
20.45,8.3111,7.2276
20.5,8.3192,7.2512
20.55,8.3279,7.2747
20.6,8.337,7.2979
20.65,8.3466,7.321
20.7,8.3567,7.3439
20.75,8.3674,7.3665
20.8,8.3785,7.3888
20.85,8.3903,7.4109
20.9,8.4025,7.4327
20.95,8.4152,7.4541
21,8.4284,7.4749
21.05,8.4419,7.4953
21.1,8.4559,7.5152
21.15,8.4704,7.5347
21.2,8.4852,7.5537
21.25,8.5005,7.5723
21.3,8.5162,7.5904
21.35,8.5323,7.6081
21.4,8.5488,7.6254
21.45,8.5657,7.6423
21.5,8.5829,7.6588
21.55,8.6005,7.6749
21.6,8.6184,7.6906
21.65,8.6366,7.706
21.7,8.6552,7.7209
21.75,8.674,7.7355
21.8,8.6931,7.7498
21.85,8.7125,7.7637
21.9,8.7322,7.7773
21.95,8.752,7.7906
22,8.7721,7.8035
22.05,8.7924,7.8162
22.1,8.8129,7.8286
22.15,8.8336,7.8407
22.2,8.8545,7.8526
22.25,8.8755,7.8642
22.3,8.8966,7.8756
22.35,8.9179,7.8868
22.4,8.9393,7.8977
22.45,8.9608,7.9085
22.5,8.9825,7.9191
22.55,9.0042,7.9295
22.6,9.026,7.9399
22.65,9.0478,7.9501
22.7,9.0697,7.9603
22.75,9.0917,7.9704
22.8,9.1137,7.9804
22.85,9.1357,7.9904
22.9,9.1578,8.0004
22.95,9.1798,8.0103
23,9.2019,8.0201
23.05,9.224,8.03
23.1,9.2462,8.0398
23.15,9.2683,8.0496
23.2,9.2905,8.0594
23.25,9.3126,8.0692
23.3,9.3348,8.079
23.35,9.357,8.0888
23.4,9.3792,8.0985
23.45,9.4014,8.1083
23.5,9.4236,8.1181
23.55,9.4458,8.1278
23.6,9.468,8.1376
23.65,9.4902,8.1474
23.7,9.5124,8.1571
23.75,9.5346,8.1669
23.8,9.5568,8.1767
23.85,9.579,8.1864
23.9,9.6011,8.1961
23.95,9.6231,8.2058
24,9.645,8.2155
24.05,9.6668,8.225
24.1,9.6883,8.2345
24.15,9.7097,8.2439
24.2,9.7308,8.2532
24.25,9.7517,8.2624
24.3,9.7723,8.2715
24.35,9.7927,8.2805
24.4,9.8128,8.2893
24.45,9.8326,8.2981
24.5,9.8521,8.3067
24.55,9.8713,8.3151
24.6,9.8902,8.3234
24.65,9.9088,8.3316
24.7,9.927,8.3397
24.75,9.9449,8.3476
24.8,9.9625,8.3553
24.85,9.9798,8.3629
24.9,9.9967,8.3704
24.95,10.013,8.3777
25,10.03,8.3849
25.05,10.045,8.3919
25.1,10.061,8.3988
25.15,10.076,8.4056
25.2,10.091,8.4122
25.25,10.106,8.4186
25.3,10.12,8.4249
25.35,10.134,8.4311
25.4,10.148,8.4372
25.45,10.161,8.4431
25.5,10.174,8.4488
25.55,10.187,8.4545
25.6,10.2,8.46
25.65,10.212,8.4654
25.7,10.224,8.4706
25.75,10.235,8.4758
25.8,10.247,8.4808
25.85,10.258,8.4857
25.9,10.269,8.4904
25.95,10.279,8.4951
26,10.289,8.4996
26.05,10.299,8.5041
26.1,10.309,8.5084
26.15,10.319,8.5126
26.2,10.328,8.5167
26.25,10.337,8.5207
26.3,10.346,8.5246
26.35,10.355,8.5284
26.4,10.363,8.5321
26.45,10.371,8.5358
26.5,10.379,8.5393
26.55,10.387,8.5427
26.6,10.394,8.5461
26.65,10.402,8.5493
26.7,10.409,8.5525
26.75,10.416,8.5556
26.8,10.423,8.5586
26.85,10.429,8.5615
26.9,10.436,8.5644
26.95,10.442,8.5672
27,10.448,8.5699
27.05,10.454,8.5725
27.1,10.46,8.5751
27.15,10.466,8.5776
27.2,10.471,8.58
27.25,10.477,8.5824
27.3,10.482,8.5847
27.35,10.487,8.5869
27.4,10.492,8.5891
27.45,10.497,8.5913
27.5,10.501,8.5933
27.55,10.506,8.5953
27.6,10.51,8.5973
27.65,10.515,8.5992
27.7,10.519,8.6011
27.75,10.523,8.6029
27.8,10.527,8.6046
27.85,10.531,8.6063
27.9,10.534,8.608
27.95,10.538,8.6096
28,10.542,8.6112
28.05,10.545,8.6127
28.1,10.548,8.6142
28.15,10.552,8.6157
28.2,10.555,8.6171
28.25,10.558,8.6184
28.3,10.561,8.6198
28.35,10.564,8.6211
28.4,10.567,8.6223
28.45,10.569,8.6236
28.5,10.572,8.6247
28.55,10.575,8.6259
28.6,10.577,8.627
28.65,10.58,8.6281
28.7,10.582,8.6292
28.75,10.585,8.6302
28.8,10.587,8.6312
28.85,10.589,8.6322
28.9,10.591,8.6332
28.95,10.593,8.6341
29,10.595,8.635
29.05,10.597,8.6359
29.1,10.599,8.6368
29.15,10.601,8.6376
29.2,10.603,8.6384
29.25,10.605,8.6392
29.3,10.606,8.6399
29.35,10.608,8.6407
29.4,10.61,8.6414
29.45,10.611,8.6421
29.5,10.613,8.6428
29.55,10.614,8.6435
29.6,10.616,8.6441
29.65,10.617,8.6447
29.7,10.619,8.6453
29.75,10.62,8.6459
29.8,10.621,8.6465
29.85,10.623,8.6471
29.9,10.624,8.6476
29.95,10.625,8.6481
30,10.626,8.6487
30.05,10.627,8.6492
30.1,10.628,8.6496
30.15,10.629,8.6501
30.2,10.63,8.6506
30.25,10.631,8.651
30.3,10.632,8.6515
30.35,10.633,8.6519
30.4,10.634,8.6523
30.45,10.635,8.6527
30.5,10.636,8.6531
30.55,10.637,8.6535
30.6,10.638,8.6538
30.65,10.639,8.6542
30.7,10.639,8.6545
30.75,10.64,8.6549
30.8,10.641,8.6552
30.85,10.642,8.6555
30.9,10.642,8.6558
30.95,10.643,8.6561
31,10.644,8.6564
31.05,10.644,8.6567
31.1,10.645,8.657
31.15,10.645,8.6573
31.2,10.646,8.6575
31.25,10.647,8.6578
31.3,10.647,8.658
31.35,10.648,8.6583
31.4,10.648,8.6585
31.45,10.649,8.6587
31.5,10.649,8.659
